x
TRIM29
TP63
KRT23
COL17A1
WFDC2
LAMB3
CYP3A5
S100A14
GPX2
DUOX2
CYP4B1
DUOXA1
VTCN1
GPR87
CHP2
FLRT3
FAT2
GATA3
CHD9NB
VSNL1
DUOX1
DUOXA2
GJB5
ITGB6
PCP4L1
HOXD13
SLC16A5
GJB3
INAVA
NRG1
TMEM40
FOLR1
APOBEC3C
GJB4
GSTP1
ST6GALNAC2
NYNRIN
LOC654780
SLC52A1
CDHR1
ADAD2
ALDH3A1
NRG2
ACSF2
LINC01671
ITPRIPL1
NTN4
TGM1
C16orf74
CHST2
RHBDL3
L3MBTL4
PAK5
B3GNT8
ARL4D
EVPLL
LINC01503
SOX15
CD40
IQCA1
RAB7B
KCNJ5-AS1
PDPN
LINC01679
LURAP1
AVPI1
RAB38
LINC02784
RARG
ITGA3
RBFOX3
SMOC1
ATP1A2
SRD5A2
NCAM1
LDB3
STAC
ADRA1A
JPH4
ADAMTS9-AS1
FAT3
CHRDL1
TMEM35A
MYOCD
PGM5
MYH11
FLNC
SYNM
ACTG2
NDE1
HSPB8
SYNPO2
C2orf88
COL4A6
HIF3A
ANGPT1
MYLK
TMEM252
FHL1
FGF10
TCEAL2
SHISAL1
JPH2
SPOCK3
ASPA
SORBS1
CNN1
PRKCB
AHNAK2
GNAO1
ALDH1A2
PDZRN4
MYL9
LMOD1
DCHS2
ADAMTS5
EPHB1
SPON1
FLNC-AS1
PAK3
UBXN10
SLC8A1
FLNA
ANO5
LOC102723370
ASB2
B3GALT2
CRADD-AS1
PCDH7
PLN
KCNMB1
ARHGAP20
PGR
ADGRL3
EYA4
TRHDE
TNS1
GSTM5
ADAMTS9-AS2
GLIS1
SNAP25
CNTN1
PCYT1B
SCN2B
MEIS2
NECAB1
FGF7
SEMA3A
RASL12
ACTA2
MAP1A
IRAG1
ATP2B4
FXYD6
DAAM2
MAMDC2
CCND2
C8orf88
CLIC6
RND3
ALDH1L2
STOX2
RND2
MYZAP
FXYD6-FXYD2
PRKG1
MPP2
PDE5A
BHMT2
PLAAT5
MSRB3
ADCY5
RAB9B
CCDC178
SCARA3
ZNF516
PPP1R12B
C3orf70
KCNMA1
LRFN5
POPDC2
LIMS2
PRICKLE2
ZNF804A
TGFB1I1
GJA1
CTF1
CAV1
DAAM2-AS1
GCNT4
CLIP3
FAXDC2
MCC
NLGN3
ZNF154
EDNRA
DDR2
MYLK-AS1
MYLK-AS2
EFEMP1
VWA5A
FRMD6
ARHGAP23
CACHD1
MEIS1
MAMLD1
CSRP1
GNAZ
ITIH5
SLC47A1
PALLD
INMT
HEPH
RCAN2
MAGI2-AS3
HLF
SVIL
NHS
TMLHE
GPR161
NT5E
IRAK3
EPB41L3
DNAJB5
MIR100HG
STARD8
TGFBR3
GPRASP1
TTC23-AS1
KCNJ8
CCDC69
ARHGEF25
DYNC1I1
HS3ST3A1
SMIM10
METTL24
TSPAN2
RBPMS
SLC24A3
TCEAL7
TSPAN18
CAV2
CPEB1
TRIM9
KCNIP3
DZIP1
EFEMP2
EHD2
TINAGL1
TRPC6
TIMP3
VCL
RGS22
MXRA7
PDGFC
TCF7L1
ANO6
TRPC1
CORO2B
RBMS3
CAVIN1
LINC03063
PLSCR4
JAZF1
KANK2
SV2A
PRTFDC1
CALD1
DPYSL3
FEZ1
STT3A-AS1
MBNL1-AS1
ANXA6
DBNDD2
TPM1
PIPOX
SSPN
FERMT2
SH3PXD2B
SLC16A4
RIMS3
HACD4
FAM162B
GIPC2
CDC42EP3
FZD7
BMERB1
MPV17L-BMERB1
PLEKHA2
NPR2
AMPH
KIAA1614
CLIP4
DENND2B
WFIKKN2
TTC28
NEURL1B
MYBL2
BIRC5
HJURP
KIF4A
MKI67
IQGAP3
MELK
TROAP
KIF18B
GTSE1
DEPDC1B
CDCA5
PLK1
SKA3
SPC25
BUB1B
FOXM1
CCNB2
SPAG5
CDC25C
CDCA8
EZH2
CCNA2
RPL7AP31
RPL8P4
RPL17P34
RPL23AP18
RPL14P3
RPL12P6
RPL22P2
RPL23AP3
RPS15AP5
RPL7AP34
RPL12P8
RPL36A
RPL26P36
