GeneSet	Description	p.value	FDR	Phenotype	Genes
Regulation of Muscle System Process (GO:0090257)	Regulation of Muscle System Process (GO:0090257)	6.6267228653812e-05	0.00430600256361069	1	TPM1,ATP1A2,PPP1R12B,MYL9
Mitotic Metaphase Chromosome Alignment (GO:0007080)	Mitotic Metaphase Chromosome Alignment (GO:0007080)	6.69642245990352e-05	0.00430600256361069	1	CENPE,NUF2,KIF14,KIF2C,SKA3,CEP55,AURKB,SKA1
Supramolecular Fiber Organization (GO:0097435)	Supramolecular Fiber Organization (GO:0097435)	8.24170418869904e-05	0.00514379302600569	1	FHOD3,ACTN1,TPM1,KIF14,KRT13,LMOD1,KRT23,KRT5,RND2,CORO2B,CLIP3,CNN1,EFEMP2,KIF18B,CLIP4,KIF2C,MYH11,PGM5,MYL9
Cytoskeleton-dependent Cytokinesis (GO:0061640)	Cytoskeleton-dependent Cytokinesis (GO:0061640)	0.000110543321224441	0.00670208364680755	1	ESPL1,KIF4A,PLK1,NUSAP1,BIRC5,KIF20A,CEP55,AURKB,CIT
Positive Regulation of Mitotic Nuclear Division (GO:0045840)	Positive Regulation of Mitotic Nuclear Division (GO:0045840)	0.000118937841743665	0.00701072500500161	1	CDC20,ESPL1,UBE2C,PLK1,NUSAP1,DLGAP5
Actomyosin Structure Organization (GO:0031032)	Actomyosin Structure Organization (GO:0031032)	0.000132163611356125	0.00757976171074856	1	FHOD3,PDLIM1,CSRP1,TPM1,LMOD1,PGM5,MYH11,SORBS1,MYL9
Regulation of Muscle Contraction (GO:0006937)	Regulation of Muscle Contraction (GO:0006937)	0.000139358499243215	0.00778207198405535	1	CNN1,CAV1,TPM1,ATP1A2,PPP1R12B,MYL9
Smooth Muscle Contraction (GO:0006939)	Smooth Muscle Contraction (GO:0006939)	0.000190779363201198	0.0102671721211709	1	EDNRA,MYH11,ADRA1A,MYLK
Regulation of Cell Cycle Process (GO:0010564)	Regulation of Cell Cycle Process (GO:0010564)	0.000193537646016416	0.0102671721211709	1	CDCA2,SPAG5,CAV2,CCDC8,PLK1,NEK2,KIF2C,KIF20A,MKI67,CDC25C,BUB1,AURKB
Cardiac Muscle Cell Differentiation (GO:0055007)	Cardiac Muscle Cell Differentiation (GO:0055007)	0.00031918058590956	0.0165195415439046	1	MYOCD,WNT3A,MYH11,NRG1,ASB2
Positive Regulation of Cell Cycle Process (GO:0090068)	Positive Regulation of Cell Cycle Process (GO:0090068)	0.000332970212334353	0.0168229235850833	1	SVIL,SPAG5,SOX15,PLK1,NUSAP1,MAP3K20,KIF14,BIRC5,AURKB,CIT
Bleb Assembly (GO:0032060)	Bleb Assembly (GO:0032060)	0.00034193385518067	0.0168740381556601	1	PMP22,ANO6,MYLK
Striated Muscle Cell Development (GO:0055002)	Striated Muscle Cell Development (GO:0055002)	0.000378797917049565	0.0182683904540722	1	LMOD1,MYH11,PGM5,ASB2,MYL9
Metaphase Chromosome Alignment (GO:0051310)	Metaphase Chromosome Alignment (GO:0051310)	0.000400888902432265	0.0189041389102504	1	CENPE,CENPF,KIF14,KIF2C,SKA3,CEP55,SKA1
Kinetochore Organization (GO:0051383)	Kinetochore Organization (GO:0051383)	0.000430561642419615	0.0194394001109452	1	CENPE,CENPF,NUF2,DLGAP5
Positive Regulation of Cation Transmembrane Transport (GO:1904064)	Positive Regulation of Cation Transmembrane Transport (GO:1904064)	0.000430561642419615	0.0194394001109452	1	EDNRA,STAC,FHL1,FLNA
Actin Filament Organization (GO:0007015)	Actin Filament Organization (GO:0007015)	0.00044518217587587	0.0196807620251791	1	FHOD3,CNN1,SVIL,ACTN1,DPYSL3,TPM1,LMOD1,PLS3,FLNA,CAPG,RND2,CORO2B
Regulation of Cell Motility (GO:2000145)	Regulation of Cell Motility (GO:2000145)	0.000490120677739233	0.0212252260849521	1	DUOX1,CAVIN1,PEAK1,DUOXA2,SPOCK3,KIF14,FLNA,KRT5,GATA3,DUOX2
Regulation of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266)	Regulation of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266)	0.00052282761662128	0.021782815290719	1	BIRC5,KNL1,SKA3,AURKB,SKA1
Atrial Cardiac Muscle Cell to AV Node Cell Signaling (GO:0086026)	Atrial Cardiac Muscle Cell to AV Node Cell Signaling (GO:0086026)	0.00053820837851939	0.021782815290719	1	GJC1,GJA1,ANK2
Negative Regulation of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303)	Negative Regulation of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303)	0.00053820837851939	0.021782815290719	1	GSTP1,MAP3K20,FOXM1
Negative Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)	Negative Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)	0.000544057120833226	0.021782815290719	1	CNN1,EFEMP2,TPM1,PRKG1
Mitotic Spindle Assembly (GO:0090307)	Mitotic Spindle Assembly (GO:0090307)	0.000600580681109789	0.0236005963947217	1	TPX2,UHRF1,KIF4A,FLNA,BIRC5,AURKB
Calcium Ion Homeostasis (GO:0055074)	Calcium Ion Homeostasis (GO:0055074)	0.000616502721601532	0.0237857959134264	1	EDNRA,CD40,JPH2,SLC24A3,CAV1,RGN,ATP2B4,ANK2,S100A14
Epidermis Development (GO:0008544)	Epidermis Development (GO:0008544)	0.000640248825135607	0.0242608572667457	1	COL17A1,NTF4,WNT10A,CRABP2,LAMB3,GJB5,KRT5,FGFR2
Meiotic Sister Chromatid Cohesion (GO:0051177)	Meiotic Sister Chromatid Cohesion (GO:0051177)	0.000677293791035258	0.0252143407820494	1	SGO1,ESPL1,BUB1B,BUB1
Mitotic Nuclear Membrane Disassembly (GO:0007077)	Mitotic Nuclear Membrane Disassembly (GO:0007077)	0.000794214139637266	0.0290572828329358	1	PRKCB,PLK1,CDK1
Striated Muscle Cell Differentiation (GO:0051146)	Striated Muscle Cell Differentiation (GO:0051146)	0.000832075919718743	0.0299265271464944	1	POPDC2,MYOCD,NRG1,ASB2
